flag_id,mdr_id,source_system,source_native_id,field_name,flag_type,flag_detail,original_value,suggested_value,resolved,resolved_by,resolved_at
DQF-0001,PROJ1-ALPHAENG-ZZ-DR-EL-000001,Windchill,WCA-000014,author,MISSING_MANDATORY_FIELD,wc_author is blank. Author is mandatory for document traceability. Please fill this field in the DC remediation queue.,,,False,,
DQF-0002,PROJ1-BETAKONS-ZZ-SH-IN-000006,Windchill,WCB-000004,author,MISSING_MANDATORY_FIELD,wc_author is blank. Author is mandatory for document traceability. Please fill this field in the DC remediation queue.,,,False,,
DQF-0003,PROJ1-BETAKONS-ZZ-RP-ME-000010,Windchill,WCB-000007,discipline,NORMALISATION_REQUIRED,"wc_discipline_code 'MECHANICAL' is not a standard Windchill code. Expected one of: MECH, ELEC, INST, CIVIL. Mapped to 'Mechanical' with MEDIUM confidence — please confirm.",MECHANICAL,Mechanical,False,,
DQF-0004,PROJ1-BETAKONS-ZZ-DR-ME-000011,Windchill,WCB-000008,discipline,NORMALISATION_REQUIRED,"wc_discipline_code 'MECHANICAL' is not a standard Windchill code. Expected one of: MECH, ELEC, INST, CIVIL. Mapped to 'Mechanical' with MEDIUM confidence — please confirm.",MECHANICAL,Mechanical,False,,
DQF-0005,PROJ1-BETAKONS-ZZ-DR-CI-000007,Windchill,WCB-000011,author,MISSING_MANDATORY_FIELD,wc_author is blank. Author is mandatory for document traceability. Please fill this field in the DC remediation queue.,,,False,,
DQF-0006,PROJ1-GAMMAEPC-ZZ-RP-IN-000008,SharePoint,4508,discipline,NORMALISATION_REQUIRED,sp_department 'Instrumentation & Control' does not match canonical discipline vocabulary. Mapped to 'Instrumentation' via lookup table — please confirm.,Instrumentation & Control,Instrumentation,False,,
DQF-0007,PROJ1-GAMMAEPC-ZZ-RP-IN-000008,SharePoint,4508,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.0,A,False,,
DQF-0008,PROJ1-GAMMAEPC-ZZ-RP-IN-000008,SharePoint,4508,originator_company,MISSING_MANDATORY_FIELD,sp_company is blank. Originator company is required for ISO 19650 compliance. Please fill this field in the DC remediation queue.,,,False,,
DQF-0009,PROJ1-GAMMAEPC-ZZ-RP-CI-000008,SharePoint,4516,discipline,NORMALISATION_REQUIRED,sp_department 'Civil & Structural' does not match canonical discipline vocabulary. Mapped to 'Civil' via lookup table — please confirm.,Civil & Structural,Civil,False,,
DQF-0010,PROJ1-GAMMAEPC-ZZ-RP-CI-000008,SharePoint,4516,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.0,A,False,,
