document_id,source_system_id,source_system,source_system_instance,source_status,canonical_status,iso19650_status_code,project_code,originator_code,volume_code,level_code,type_code,role_code,iso19650_filename,mdr_id,document_type,discipline,revision,title,description,file_format,approval_class,certification_required,certifying_body,certifying_body_contact,confidentiality_class,sensitive_information,author,co_author,originator_company,reviewer,approver,issue_date,ingested_at
97d3c394-ab56-5230-b04d-3b31d86a1ef5,WCA-000001,Windchill,Windchill_PartnerA,Revised,REVISION_REQUIRED,S3,PROJ1,ALPHAENG,ZZ,00,SH,IN,PROJ1-ALPHAENG-ZZ-00-SH-IN-000001-A,PROJ1-ALPHAENG-ZZ-SH-IN-000001,Instrument Index,Instrumentation,A,Instrumentation -- Instrument Index -- WCA-000001,"Instrument Index for Instrumentation scope, revision A.",XLSX,INTERNAL,False,,,INTERNAL,False,Allison Hill,Noah Rhodes,Alpha Engineering GmbH,Angie Henderson,Daniel Wagner,2025-12-19,2025-12-23T13:12:38Z
7210ce16-c3ac-5c1a-a2e7-fad439c8a9c3,WCA-000002,Windchill,Windchill_PartnerA,Issued for Client,APPROVED_CUSTOMER,S4,PROJ1,ALPHAENG,ZZ,00,DS,ME,PROJ1-ALPHAENG-ZZ-00-DS-ME-000001-A,PROJ1-ALPHAENG-ZZ-DS-ME-000001,Heat Exchanger Datasheet,Mechanical,A,Mechanical -- Heat Exchanger Datasheet -- WCA-000002,"Heat Exchanger Datasheet for Mechanical scope, revision A.",PDF,CERTIFICATION,True,Lloyd's Register,,RESTRICTED,True,Cristian Santos,,Alpha Engineering GmbH,Connie Lawrence,Abigail Shaffer,2025-04-14,2025-04-16T10:15:08Z
3a3c1254-b00e-5268-b51d-0c869824404e,WCA-000003,Windchill,Windchill_PartnerA,In Review,UNDER_REVIEW,S3,PROJ1,ALPHAENG,ZZ,00,CT,ME,PROJ1-ALPHAENG-ZZ-00-CT-ME-000002-B,PROJ1-ALPHAENG-ZZ-CT-ME-000002,Mechanical Completion Certificate,Mechanical,B,Mechanical -- Mechanical Completion Certificate -- WCA-000003,"Mechanical Completion Certificate for Mechanical scope, revision B.",PDF,CERTIFICATION,True,Lloyd's Register,,RESTRICTED,True,Gina Moore,,Alpha Engineering GmbH,Gabrielle Davis,Ryan Munoz,2025-12-22,2025-12-23T11:46:24Z
1b41bdf5-fd74-5fa0-8b27-ee2ee1b8527c,WCA-000004,Windchill,Windchill_PartnerA,Cancelled,ON_HOLD,S0,PROJ1,ALPHAENG,ZZ,00,SH,ME,PROJ1-ALPHAENG-ZZ-00-SH-ME-000003-A,PROJ1-ALPHAENG-ZZ-SH-ME-000003,Line List,Mechanical,A,Mechanical -- Line List -- WCA-000004,"Line List for Mechanical scope, revision A.",PDF,CUSTOMER,True,TUV Rheinland,,INTERNAL,False,Monica Herrera,,Alpha Engineering GmbH,Jamie Arnold,Lisa Hensley,2025-09-14,2025-09-19T17:44:34Z
c7fff69e-1ab0-5067-8984-1bd1bca0a242,WCA-000005,Windchill,Windchill_PartnerA,In Review,UNDER_REVIEW,S3,PROJ1,ALPHAENG,ZZ,00,SH,ME,PROJ1-ALPHAENG-ZZ-00-SH-ME-000004-B,PROJ1-ALPHAENG-ZZ-SH-ME-000004,Valve List,Mechanical,B,Mechanical -- Valve List -- WCA-000005,"Valve List for Mechanical scope, revision B.",PDF,CUSTOMER,False,,,INTERNAL,False,Michele Williams,Dylan Miller,Alpha Engineering GmbH,Brian Ramirez,Holly Wood,2025-11-18,2025-11-19T16:31:12Z
07db7df1-abb9-5a3a-8541-710c4b789dc5,WCA-000006,Windchill,Windchill_PartnerA,Cancelled,ON_HOLD,S0,PROJ1,ALPHAENG,ZZ,00,SH,IN,PROJ1-ALPHAENG-ZZ-00-SH-IN-000002-A,PROJ1-ALPHAENG-ZZ-SH-IN-000002,Instrument Index,Instrumentation,A,Instrumentation -- Instrument Index -- WCA-000006,"Instrument Index for Instrumentation scope, revision A.",PDF,INTERNAL,False,,,INTERNAL,False,Derek Zuniga,,Alpha Engineering GmbH,Lisa Jackson,Carla Gray,2026-01-07,2026-01-11T16:37:13Z
dc6f1d9d-89ae-550a-855e-eec6c907ecfc,WCA-000007,Windchill,Windchill_PartnerA,Issued for Client,APPROVED_CUSTOMER,S4,PROJ1,ALPHAENG,ZZ,00,CT,ME,PROJ1-ALPHAENG-ZZ-00-CT-ME-000005-B,PROJ1-ALPHAENG-ZZ-CT-ME-000005,Mechanical Completion Certificate,Mechanical,B,Mechanical -- Mechanical Completion Certificate -- WCA-000007,"Mechanical Completion Certificate for Mechanical scope, revision B.",PDF,CERTIFICATION,True,DNV,,CONFIDENTIAL,True,Margaret Hawkins DDS,Patty Perez,Alpha Engineering GmbH,Ethan Adams,Tommy Walter,2025-10-20,2025-10-23T13:55:43Z
7937f10e-6d80-5947-8244-8412c56ab5fe,WCA-000008,Windchill,Windchill_PartnerA,Issued for Client,APPROVED_CUSTOMER,S4,PROJ1,ALPHAENG,ZZ,00,RP,IN,PROJ1-ALPHAENG-ZZ-00-RP-IN-000003-A,PROJ1-ALPHAENG-ZZ-RP-IN-000003,SIL Assessment,Instrumentation,A,Instrumentation -- SIL Assessment -- WCA-000008,"SIL Assessment for Instrumentation scope, revision A.",PDF,AUTHORITY,False,,,CONFIDENTIAL,True,Matthew Foster,Judy Baker,Alpha Engineering GmbH,Justin Baker,Stephanie Ross,2025-04-10,2025-04-12T09:29:42Z
844dca3a-60f6-5503-ada2-4189641ac204,WCA-000009,Windchill,Windchill_PartnerA,Baselined,APPROVED_DRAFT,S4,PROJ1,ALPHAENG,ZZ,00,RP,IN,PROJ1-ALPHAENG-ZZ-00-RP-IN-000004-A,PROJ1-ALPHAENG-ZZ-RP-IN-000004,Control Narrative,Instrumentation,A,Instrumentation -- Control Narrative -- WCA-000009,"Control Narrative for Instrumentation scope, revision A.",PDF,CUSTOMER,False,,,CONFIDENTIAL,True,Zachary Hicks,Anthony Rodriguez,Alpha Engineering GmbH,Rebecca Henderson,James Ferrell,2025-06-22,2025-06-24T16:21:05Z
14692e56-9425-5dc1-a716-3a63d92651a9,WCA-000010,Windchill,Windchill_PartnerA,Cancelled,ON_HOLD,S0,PROJ1,ALPHAENG,ZZ,00,DR,CI,PROJ1-ALPHAENG-ZZ-00-DR-CI-000001-A,PROJ1-ALPHAENG-ZZ-DR-CI-000001,Drainage Layout,Civil,A,Civil -- Drainage Layout -- WCA-000010,"Drainage Layout for Civil scope, revision A.",PDF,CUSTOMER,False,,,INTERNAL,False,Tricia Valencia,,Alpha Engineering GmbH,Nathan Maldonado,Debra Davidson,2025-05-14,2025-05-19T17:49:05Z
