sp_instance,sp_item_id,sp_file_name,sp_status,sp_version,sp_created,sp_modified,sp_created_by,sp_modified_by,sp_reviewer,sp_department,sp_document_category,sp_company,sp_classification,sp_approval_type,sp_certifying_body,sp_certification_required,sp_file_type
SharePoint_PMC,4508,PROJ1_GAMMA_HAZOP_Report_v1.0.pdf,Approved,1.0,12/13/2025,01/01/2026,Erika Allen,Ashley Alvarez,Lisa Thomas,Instrumentation & Control,HAZOP Report,,Confidential,Authority,,False,pdf
SharePoint_PMC,4516,PROJ1_GAMMA_Geotechnical_Report_v1.0.pdf,Client Approved,1.0,01/26/2026,03/21/2026,Kathryn Rosales,Tyler Thompson,Katie Houston,Civil & Structural,Geotechnical Report,Gamma EPC Ltd,Confidential,Authority,,False,pdf
SharePoint_PMC,4525,PROJ1_GAMMA_Piping_Isometric_v2.0.pdf,Under Review,2.0,12/11/2025,12/17/2025,,Kimberly Harris,Brad Gonzalez,Mechanical Engineering,Piping Isometric,Gamma EPC Ltd,Internal Use Only,Internal,,False,pdf
SharePoint_PMC,4534,PROJ1_GAMMA_Instrument_Datasheet_v1.0.pdf,Pending Review,1.0,10/30/2025,12/14/2025,Jessica Padilla,Ryan Hendrix,Natalie Atkinson,Instrumentation & Control,Instrument Datasheet,Gamma EPC Ltd,Internal Use Only,Internal,,False,pdf
SharePoint_PMC,4536,PROJ1_GAMMA_Structural_Steel_Drawing_v1.0.dwg,Final Approved,1.0,04/20/2025,05/20/2025,Joel Miller,Kimberly Rodriguez,Ricardo Arnold,Civil & Structural,Structural Steel Drawing,Gamma EPC Ltd,Confidential,Certification,TUV SUD,True,dwg
SharePoint_PMC,4546,PROJ1_GAMMA_Heat_Exchanger_Datasheet_v1.0.pdf,Draft,1.0,07/18/2025,09/05/2025,Timothy Brown,Valerie Potter,Kiara Robinson,Mechanical Engineering,Heat Exchanger Datasheet,Gamma EPC Ltd,Confidential,Certification,Intertek,True,pdf
SharePoint_PMC,4553,PROJ1_GAMMA_Geotechnical_Report_v1.1.pdf,Rejected,1.1,12/01/2025,01/20/2026,Oscar Mack,Travis Johnson,Andrew Howard DVM,Civil & Structural,Geotechnical Report,Gamma EPC Ltd,Confidential,Authority,,False,pdf
SharePoint_PMC,4558,PROJ1_GAMMA_PandID_v1.0.pdf,Draft,1.0,07/03/2025,07/11/2025,William Stein,Amy Ruiz,Anna Evans,Mechanical Engineering,P&ID,Gamma EPC Ltd,Internal Use Only,Client,,False,pdf
SharePoint_PMC,4564,PROJ1_GAMMA_Pump_Datasheet_v1.0.pdf,Client Approved,1.0,06/06/2025,08/04/2025,Ryan Herman,Nicole Johnston,John Hodges,Mechanical Engineering,Pump Datasheet,Gamma EPC Ltd,Internal Use Only,Certification,TUV SUD,True,pdf
SharePoint_PMC,4565,PROJ1_GAMMA_Civil_Material_Take-Off_v1.0.xlsx,Draft,1.0,01/27/2026,03/13/2026,Alyssa Smith,Tim Wilson,John Stephenson,Civil & Structural,Civil Material Take-Off,Gamma EPC Ltd,Internal Use Only,Client,,False,xlsx
SharePoint_PMC,4570,PROJ1_GAMMA_Pump_Datasheet_v1.0.pdf,On Hold,1.0,12/02/2025,12/18/2025,Dean Ingram,Christopher Johnson,Cynthia Mason,Mechanical Engineering,Pump Datasheet,Gamma EPC Ltd,Internal Use Only,Certification,Intertek,True,pdf
SharePoint_PMC,4579,PROJ1_GAMMA_Equipment_Datasheet_v1.0.pdf,Under Review,1.0,10/13/2025,11/25/2025,,Katherine Adams,Ashley Howell,Mechanical Engineering,Equipment Datasheet,Gamma EPC Ltd,Internal Use Only,Internal,,False,pdf
SharePoint_PMC,4586,PROJ1_GAMMA_SIL_Assessment_v2.0.pdf,Pending Review,2.0,06/13/2025,07/23/2025,Donald Chavez,Kevin Jones,Charles Davis,Instrumentation & Control,SIL Assessment,Gamma EPC Ltd,Confidential,Authority,,False,pdf
SharePoint_PMC,4587,PROJ1_GAMMA_Lighting_Layout_v1.1.dwg,Approved,1.1,06/05/2025,06/10/2025,Katrina Shelton,Carmen Bean,Joe Freeman,Electrical Engineering,Lighting Layout,Gamma EPC Ltd,Internal Use Only,Internal,,False,dwg
SharePoint_PMC,4595,PROJ1_GAMMA_Instrument_Index_v1.0.pdf,Approved,1.0,07/28/2025,08/16/2025,Patricia Lee,Jessica King,Shelby Hodge,Instrumentation & Control,Instrument Index,,Confidential,Client,,False,pdf
SharePoint_PMC,4597,PROJ1_GAMMA_SIL_Assessment_v1.1.pdf,Client Approved,1.1,09/17/2025,11/12/2025,Thomas Parsons,Nicole Cooke,Paul Harrington,Instrumentation & Control,SIL Assessment,Gamma EPC Ltd,Confidential,Authority,,False,pdf
SharePoint_PMC,4608,PROJ1_GAMMA_Grading_Plan_v1.0.pdf,Client Approved,1.0,06/10/2025,07/28/2025,Kathy Morales,Jamie Francis,Michelle Parker,Civil & Structural,Grading Plan,Gamma EPC Ltd,Confidential,Certification,SGS,True,pdf
SharePoint_PMC,4614,PROJ1_GAMMA_Motor_Control_Centre_Layout_v1.1.dwg,Client Approved,1.1,11/27/2025,12/06/2025,Michael Thomas,Richard Williams,Leah Hoffman,Electrical Engineering,Motor Control Centre Layout,Gamma EPC Ltd,Internal Use Only,Certification,TUV SUD,True,dwg
SharePoint_PMC,4626,PROJ1_GAMMA_Heat_Exchanger_Datasheet_v1.0.pdf,Draft,1.0,12/10/2025,01/20/2026,Amy Johnson,Laurie Fowler,Denise Martin,Mechanical Engineering,Heat Exchanger Datasheet,Gamma EPC Ltd,Confidential,Certification,Bureau Veritas,True,pdf
SharePoint_PMC,4638,PROJ1_GAMMA_Drainage_Layout_v1.1.pdf,Draft,1.1,08/01/2025,08/07/2025,Amy Black,Tina Miller,Angela Chavez,Civil & Structural,Drainage Layout,Gamma EPC Ltd,Internal Use Only,Client,,False,pdf
